run,seed,model,candidate_id,params,inner_train_n,validation_n,validation_AUPRC,validation_F1_threshold
1,42,LightGBM,34,"{""colsample_bytree"": 0.8543548437616945, ""learning_rate"": 0.061250804453087546, ""max_depth"": 8, ""min_child_samples"": 40, ""n_estimators"": 600, ""num_leaves"": 31, ""reg_alpha"": 0.001609097729198055, ""reg_lambda"": 0.0002050034670840132, ""subsample"": 0.9825603878680664, ""subsample_freq"": 1}",39654,9914,0.888761773460721,0.8160013104349494
1,42,LightGBM,35,"{""colsample_bytree"": 0.8757894134383537, ""learning_rate"": 0.010271039174028355, ""max_depth"": -1, ""min_child_samples"": 80, ""n_estimators"": 900, ""num_leaves"": 127, ""reg_alpha"": 0.003988982240059773, ""reg_lambda"": 0.0004663580794263461, ""subsample"": 0.8133426766431481, ""subsample_freq"": 1}",39654,9914,0.9072925091074844,0.5782747017510903
1,42,LightGBM,36,"{""colsample_bytree"": 0.6539851194774925, ""learning_rate"": 0.010648709358781488, ""max_depth"": 12, ""min_child_samples"": 20, ""n_estimators"": 900, ""num_leaves"": 63, ""reg_alpha"": 0.0007428302952087258, ""reg_lambda"": 5.527545489661012, ""subsample"": 0.7871612373501409, ""subsample_freq"": 1}",39654,9914,0.874346866889277,0.7153820985133171
1,42,LightGBM,37,"{""colsample_bytree"": 0.7938332211027128, ""learning_rate"": 0.03160820917240674, ""max_depth"": 12, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 31, ""reg_alpha"": 0.7381456833769175, ""reg_lambda"": 0.00018864660619378806, ""subsample"": 0.8766810422674862, ""subsample_freq"": 1}",39654,9914,0.8726613999127787,0.7457082626943801
1,42,LightGBM,38,"{""colsample_bytree"": 0.8738976039910691, ""learning_rate"": 0.01942940124877285, ""max_depth"": 16, ""min_child_samples"": 40, ""n_estimators"": 1200, ""num_leaves"": 95, ""reg_alpha"": 0.0016162800099599284, ""reg_lambda"": 0.12585308191119732, ""subsample"": 0.8228946291358213, ""subsample_freq"": 1}",39654,9914,0.9087732963960254,0.5858887483649693
1,42,LightGBM,39,"{""colsample_bytree"": 0.6805700302202953, ""learning_rate"": 0.01539421253784504, ""max_depth"": 12, ""min_child_samples"": 80, ""n_estimators"": 1200, ""num_leaves"": 31, ""reg_alpha"": 0.00105362144705842, ""reg_lambda"": 0.003435707711962537, ""subsample"": 0.8609010812617435, ""subsample_freq"": 1}",39654,9914,0.8827629446617088,0.8160499880257738
1,42,LightGBM,40,"{""colsample_bytree"": 0.9836350329751015, ""learning_rate"": 0.038921271154642875, ""max_depth"": 8, ""min_child_samples"": 10, ""n_estimators"": 600, ""num_leaves"": 127, ""reg_alpha"": 0.2070115975231871, ""reg_lambda"": 0.004605748063529132, ""subsample"": 0.9758823091377253, ""subsample_freq"": 1}",39654,9914,0.8911678841546216,0.702729859936722
1,42,LightGBM,41,"{""colsample_bytree"": 0.9488920753523613, ""learning_rate"": 0.017305876898972172, ""max_depth"": -1, ""min_child_samples"": 5, ""n_estimators"": 300, ""num_leaves"": 31, ""reg_alpha"": 0.061425174234662046, ""reg_lambda"": 0.0009286569363758175, ""subsample"": 0.7710603561039556, ""subsample_freq"": 1}",39654,9914,0.8642763572846135,0.7404663027235349
1,42,LightGBM,42,"{""colsample_bytree"": 0.9028895302533139, ""learning_rate"": 0.0369383488750742, ""max_depth"": -1, ""min_child_samples"": 40, ""n_estimators"": 1200, ""num_leaves"": 127, ""reg_alpha"": 0.00010020719341626372, ""reg_lambda"": 0.02153587946652545, ""subsample"": 0.7857574454869888, ""subsample_freq"": 1}",39654,9914,0.9051173923426348,0.4635712989395202
1,42,LightGBM,43,"{""colsample_bytree"": 0.8215859977018802, ""learning_rate"": 0.03321044596370437, ""max_depth"": 12, ""min_child_samples"": 40, ""n_estimators"": 300, ""num_leaves"": 127, ""reg_alpha"": 0.3114527920422343, ""reg_lambda"": 6.7513268510015605, ""subsample"": 0.914978486047786, ""subsample_freq"": 1}",39654,9914,0.8690606940903312,0.7589356599106183
