Product_norm,Product,Code,COG_category,COG_super_category
pyruvate flavodoxin oxidoreductase subunit gamma,pyruvate flavodoxin oxidoreductase subunit gamma,AJXY,C,Metabolism
pyruvate formate lyase 1-activating protein,pyruvate formate lyase 1-activating protein,AJXZ,C,Metabolism
pyruvate formate lyase family protein,pyruvate formate lyase family protein,AJYA,C,Metabolism
pyruvate formate-lyase-activating protein,pyruvate formate-lyase-activating protein,AJYC,C,Metabolism
pyruvate:ferredoxin (flavodoxin) oxidoreductase,pyruvate:ferredoxin (flavodoxin) oxidoreductase,AJYV,C,Metabolism
quinohemoprotein amine dehydrogenase maturation protein,quinohemoprotein amine dehydrogenase maturation protein,AJZX,C,Metabolism
quinohemoprotein amine dehydrogenase subunit alpha,quinohemoprotein amine dehydrogenase subunit alpha,AJZY,C,Metabolism
quinol dehydrogenase ferredoxin subunit naph,quinol dehydrogenase ferredoxin subunit NapH,AKAC,C,Metabolism
quinone oxidoreductase,quinone oxidoreductase,AKBH,C,Metabolism
quinone oxidoreductase family protein,quinone oxidoreductase family protein,AKBI,C,Metabolism
quinone-dependent l-lactate dehydrogenase,quinone-dependent L-lactate dehydrogenase,AKBJ,C,Metabolism
radical sam protein,radical SAM protein,AKCU,C,Metabolism
radical sam/spasm domain-containing protein,radical SAM/SPASM domain-containing protein,AKCZ,C,Metabolism
reactive chlorine resistance oxidoreductase rcla,reactive chlorine resistance oxidoreductase RclA,AKDG,C,Metabolism
redoxin domain-containing protein,redoxin domain-containing protein,AKEY,C,Metabolism
redoxin family protein,redoxin family protein,AKEZ,C,Metabolism
reductive dehalogenase,reductive dehalogenase,AKFB,C,Metabolism
regulatory [nife] hydrogenase small subunit,regulatory [NiFe] hydrogenase small subunit,AKFJ,C,Metabolism
regulatory protein nosr,regulatory protein NosR,AKFS,C,Metabolism
respiratory chain complex i subunit 1 family protein,respiratory chain complex I subunit 1 family protein,AKJV,C,Metabolism
respiratory nitrate reductase subunit gamma,respiratory nitrate reductase subunit gamma,AKJW,C,Metabolism
rhodanese-like domain-containing protein,rhodanese-like domain-containing protein,AKNW,C,Metabolism
amp-binding enzyme,AMP-binding enzyme,AKP,C,Metabolism
ribonucleotide-diphosphate reductase subunit beta,ribonucleotide-diphosphate reductase subunit beta,AKRD,C,Metabolism
ribulokinase,ribulokinase,AKTR,C,Metabolism
ribulose bisphosphate carboxylase small subunit,ribulose bisphosphate carboxylase small subunit,AKTS,C,Metabolism
rifampin monooxygenase,rifampin monooxygenase,AKUA,C,Metabolism
right-handed parallel beta-helix repeat-containing protein,right-handed parallel beta-helix repeat-containing protein,AKUC,C,Metabolism
ring-hydroxylating dioxygenase ferredoxin reductase family protein,ring-hydroxylating dioxygenase ferredoxin reductase family protein,AKUG,C,Metabolism
rubredoxin,rubredoxin,AKUW,C,Metabolism
rubredoxin ruba,rubredoxin RubA,AKUX,C,Metabolism
rubredoxin reductase rubb,rubredoxin reductase RubB,AKUY,C,Metabolism
rubredoxin-like domain-containing protein,rubredoxin-like domain-containing protein,AKVB,C,Metabolism
rubrerythrin,rubrerythrin,AKVC,C,Metabolism
rubrerythrin family protein,rubrerythrin family protein,AKVD,C,Metabolism
salmochelin biosynthesis c-glycosyltransferase irob,salmochelin biosynthesis C-glycosyltransferase IroB,AKWA,C,Metabolism
sarcosine oxidase subunit alpha family protein,sarcosine oxidase subunit alpha family protein,AKWJ,C,Metabolism
sarcosine oxidase subunit beta family protein,sarcosine oxidase subunit beta family protein,AKWL,C,Metabolism
sarcosine oxidase subunit delta,sarcosine oxidase subunit delta,AKWM,C,Metabolism
sarcosine oxidase subunit gamma,sarcosine oxidase subunit gamma,AKWO,C,Metabolism
sarcosine reductase complex component b subunit alpha,sarcosine reductase complex component B subunit alpha,AKWQ,C,Metabolism
selenate/tellurate reductase subunit ynfe,selenate/tellurate reductase subunit YnfE,AKYK,C,Metabolism
selenate/tellurate reductase subunit ynff,selenate/tellurate reductase subunit YnfF,AKYL,C,Metabolism
"selenide, water dikinase seld","selenide, water dikinase SelD",AKYM,C,Metabolism
selenium-dependent xanthine dehydrogenase,selenium-dependent xanthine dehydrogenase,AKYU,C,Metabolism
serine/threonine-protein kinase,serine/threonine-protein kinase,ALDH,C,Metabolism
shikimate dehydrogenase,shikimate dehydrogenase,ALDZ,C,Metabolism
shikimate dehydrogenase family protein,shikimate dehydrogenase family protein,ALEA,C,Metabolism
single-domain globin cgb,single-domain globin Cgb,ALIC,C,Metabolism
sn-glycerol-1-phosphate dehydrogenase,sn-glycerol-1-phosphate dehydrogenase,ALLM,C,Metabolism
sodium ion-translocating decarboxylase subunit beta,sodium ion-translocating decarboxylase subunit beta,ALLX,C,Metabolism
sodium-extruding oxaloacetate decarboxylase subunit alpha,sodium-extruding oxaloacetate decarboxylase subunit alpha,ALMC,C,Metabolism
sodium-translocating pyrophosphatase,sodium-translocating pyrophosphatase,ALMF,C,Metabolism
squalene monooxygenase,squalene monooxygenase,ALWB,C,Metabolism
stachydrine n-demethylase reductase subunit stc4,stachydrine N-demethylase reductase subunit Stc4,ALWO,C,Metabolism
stage ii sporulation protein m,stage II sporulation protein M,ALWT,C,Metabolism
styrene monooxygenase subunit stya,styrene monooxygenase subunit StyA,AMCR,C,Metabolism
styrene monooxygenase/indole monooxygenase family protein,styrene monooxygenase/indole monooxygenase family protein,AMCS,C,Metabolism
succinate dehydrogenase,succinate dehydrogenase,AMGA,C,Metabolism
succinate dehydrogenase assembly factor 2,succinate dehydrogenase assembly factor 2,AMGB,C,Metabolism
succinate dehydrogenase cytochrome b558,succinate dehydrogenase cytochrome B558,AMGC,C,Metabolism
succinate dehydrogenase cytochrome b subunit,succinate dehydrogenase cytochrome b subunit,AMGD,C,Metabolism
succinate dehydrogenase cytochrome b556 subunit,succinate dehydrogenase cytochrome b556 subunit,AMGE,C,Metabolism
succinate dehydrogenase cytochrome b558 subunit,succinate dehydrogenase cytochrome b558 subunit,AMGF,C,Metabolism
succinate dehydrogenase flavoprotein subunit,succinate dehydrogenase flavoprotein subunit,AMGG,C,Metabolism
succinate dehydrogenase hydrophobic membrane anchor protein,succinate dehydrogenase hydrophobic membrane anchor protein,AMGH,C,Metabolism
succinate dehydrogenase hydrophobic membrane anchor subunit,succinate dehydrogenase hydrophobic membrane anchor subunit,AMGI,C,Metabolism
succinate dehydrogenase iron-sulfur subunit,succinate dehydrogenase iron-sulfur subunit,AMGJ,C,Metabolism
succinate dehydrogenase iron-sulfur subunit sdhb,succinate dehydrogenase iron-sulfur subunit SdhB,AMGK,C,Metabolism
succinate dehydrogenase membrane anchor,succinate dehydrogenase membrane anchor,AMGL,C,Metabolism
succinate dehydrogenase membrane anchor subunit,succinate dehydrogenase membrane anchor subunit,AMGM,C,Metabolism
"succinate dehydrogenase, cytochrome b556 subunit","succinate dehydrogenase, cytochrome b556 subunit",AMGN,C,Metabolism
"succinate dehydrogenase, hydrophobic membrane anchor protein","succinate dehydrogenase, hydrophobic membrane anchor protein",AMGO,C,Metabolism
succinate dehydrogenase/fumarate reductase iron-sulfur subunit,succinate dehydrogenase/fumarate reductase iron-sulfur subunit,AMGR,C,Metabolism
succinate--coa ligase subunit alpha,succinate--CoA ligase subunit alpha,AMGS,C,Metabolism
succinate--coa ligase subunit beta,succinate--CoA ligase subunit beta,AMGT,C,Metabolism
succinate-semialdehyde dehydrogenase,succinate-semialdehyde dehydrogenase,AMGU,C,Metabolism
succinic semialdehyde dehydrogenase,succinic semialdehyde dehydrogenase,AMGW,C,Metabolism
succinylglutamate-semialdehyde dehydrogenase,succinylglutamate-semialdehyde dehydrogenase,AMHV,C,Metabolism
sulfatase-like hydrolase/transferase,sulfatase-like hydrolase/transferase,AMKB,C,Metabolism
sulfate reduction electron transfer complex dsrmkjop subunit dsro,sulfate reduction electron transfer complex DsrMKJOP subunit DsrO,AMKO,C,Metabolism
sulfate reduction electron transfer complex dsrmkjop subunit dsrp,sulfate reduction electron transfer complex DsrMKJOP subunit DsrP,AMKP,C,Metabolism
sulfide/dihydroorotate dehydrogenase-like fad/nad-binding protein,sulfide/dihydroorotate dehydrogenase-like FAD/NAD-binding protein,AMLB,C,Metabolism
sulfite oxidase,sulfite oxidase,AMLF,C,Metabolism
sulfite oxidase heme-binding subunit yedz,sulfite oxidase heme-binding subunit YedZ,AMLG,C,Metabolism
sulfite reductase flavoprotein subunit alpha,sulfite reductase flavoprotein subunit alpha,AMLI,C,Metabolism
sulfite reductase subunit c,sulfite reductase subunit C,AMLJ,C,Metabolism
sulfite reductase subunit alpha,sulfite reductase subunit alpha,AMLK,C,Metabolism
sulfolactaldehyde 3-reductase,sulfolactaldehyde 3-reductase,AMLT,C,Metabolism
sulfur oxidation c-type cytochrome soxa,sulfur oxidation c-type cytochrome SoxA,AMML,C,Metabolism
sulfur oxidation c-type cytochrome soxx,sulfur oxidation c-type cytochrome SoxX,AMMM,C,Metabolism
superoxide dismutase,superoxide dismutase,AMNW,C,Metabolism
superoxide dismutase [fe],superoxide dismutase [Fe],AMOC,C,Metabolism
superoxide dismutase [mn],superoxide dismutase [Mn],AMOD,C,Metabolism
trna (n6-threonylcarbamoyladenosine(37)-n6)-methyltransferase trmo,tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO,AMPT,C,Metabolism
trna epoxyqueuosine(34) reductase queg,tRNA epoxyqueuosine(34) reductase QueG,AMRM,C,Metabolism
askha domain-containing protein,ASKHA domain-containing protein,AMT,C,Metabolism
aspic/unbv domain-containing protein,ASPIC/UnbV domain-containing protein,AMU,C,Metabolism
tartrate dehydrogenase,tartrate dehydrogenase,AMUS,C,Metabolism
atp f0f1 synthase subunit b,ATP F0F1 synthase subunit B,AMW,C,Metabolism
tellurite resistance/c4-dicarboxylate transporter family protein,tellurite resistance/C4-dicarboxylate transporter family protein,AMWF,C,Metabolism
temperature dependent virulence factor catalase kate,temperature dependent virulence factor catalase KatE,AMXB,C,Metabolism
atp citrate lyase citrate-binding domain-containing protein,ATP citrate lyase citrate-binding domain-containing protein,AMZ,C,Metabolism
tetracycline efflux na+/h+ antiporter family transporter tet(35),tetracycline efflux Na+/H+ antiporter family transporter Tet(35),AMZA,C,Metabolism
tetracycline-inactivating monooxygenase tet(x),tetracycline-inactivating monooxygenase Tet(X),AMZY,C,Metabolism
tetrathionate reductase subunit a,tetrathionate reductase subunit A,ANAW,C,Metabolism
tetrathionate reductase subunit ttra,tetrathionate reductase subunit TtrA,ANAX,C,Metabolism
tetrathionate reductase subunit ttrb,tetrathionate reductase subunit TtrB,ANAY,C,Metabolism
tetrathionate reductase subunit ttrc,tetrathionate reductase subunit TtrC,ANAZ,C,Metabolism
tetratricopeptide repeat protein,tetratricopeptide repeat protein,ANBE,C,Metabolism
thiamine pyrophosphate-binding protein,thiamine pyrophosphate-binding protein,ANCO,C,Metabolism
thiamine pyrophosphate-dependent dehydrogenase e1 component subunit alpha,thiamine pyrophosphate-dependent dehydrogenase E1 component subunit alpha,ANCP,C,Metabolism
thiamine pyrophosphate-dependent enzyme,thiamine pyrophosphate-dependent enzyme,ANCQ,C,Metabolism
thioether cross-link-forming sciff peptide maturase,thioether cross-link-forming SCIFF peptide maturase,ANDU,C,Metabolism
thiol reductant abc exporter subunit cydc,thiol reductant ABC exporter subunit CydC,ANDX,C,Metabolism
thiol reductant abc exporter subunit cydd,thiol reductant ABC exporter subunit CydD,ANDY,C,Metabolism
thiol-disulfide oxidoreductase dcc family protein,thiol-disulfide oxidoreductase DCC family protein,ANEE,C,Metabolism
thiol-disulfide oxidoreductase resa,thiol-disulfide oxidoreductase ResA,ANEF,C,Metabolism
thiol:disulfide interchange protein dsbe,thiol:disulfide interchange protein DsbE,ANEK,C,Metabolism
thiopeptide maturation pyridine synthase,thiopeptide maturation pyridine synthase,ANER,C,Metabolism
thiopeptide-type bacteriocin biosynthesis protein,thiopeptide-type bacteriocin biosynthesis protein,ANET,C,Metabolism
thioredoxin,thioredoxin,ANEV,C,Metabolism
thioredoxin domain-containing protein,thioredoxin domain-containing protein,ANEY,C,Metabolism
thioredoxin family protein,thioredoxin family protein,ANEZ,C,Metabolism
thioredoxin fold domain-containing protein,thioredoxin fold domain-containing protein,ANFA,C,Metabolism
thioredoxin-disulfide reductase,thioredoxin-disulfide reductase,ANFF,C,Metabolism
thioredoxin-like domain-containing protein,thioredoxin-like domain-containing protein,ANFH,C,Metabolism
thiosulfate oxidation carrier complex protein soxz,thiosulfate oxidation carrier complex protein SoxZ,ANFJ,C,Metabolism
thiosulfate reductase phsa,thiosulfate reductase PhsA,ANFL,C,Metabolism
thiosulfate reductase cytochrome b subunit,thiosulfate reductase cytochrome B subunit,ANFM,C,Metabolism
thiosulfate reductase electron transport protein phsb,thiosulfate reductase electron transport protein PhsB,ANFN,C,Metabolism
atp synthase f0 subunit b,ATP synthase F0 subunit B,ANH,C,Metabolism
atp synthase f0 subunit c,ATP synthase F0 subunit C,ANI,C,Metabolism
toluene-4-monooxygenase system b family protein,toluene-4-monooxygenase system B family protein,ANIA,C,Metabolism
atp synthase f1 subunit delta,ATP synthase F1 subunit delta,ANK,C,Metabolism
trans-4-hydroxy-l-proline dehydratase,trans-4-hydroxy-L-proline dehydratase,ANKR,C,Metabolism
trans-4-hydroxy-l-proline dehydratase activase,trans-4-hydroxy-L-proline dehydratase activase,ANKS,C,Metabolism
atp synthase f1 subunit epsilon,ATP synthase F1 subunit epsilon,ANL,C,Metabolism
atp synthase f1 subunit gamma,ATP synthase F1 subunit gamma,ANM,C,Metabolism
transcriptional regulator,transcriptional regulator,ANNL,C,Metabolism
transcriptional regulator beti,transcriptional regulator BetI,ANNS,C,Metabolism
atp synthase archaeal subunit h,ATP synthase archaeal subunit H,ANO,C,Metabolism
atp synthase subunit a,ATP synthase subunit A,ANQ,C,Metabolism
atp synthase subunit b,ATP synthase subunit B,ANR,C,Metabolism
atp synthase subunit c,ATP synthase subunit C,ANS,C,Metabolism
atp synthase subunit i,ATP synthase subunit I,ANT,C,Metabolism
transketolase,transketolase,ANUO,C,Metabolism
transketolase c-terminal domain-containing protein,transketolase C-terminal domain-containing protein,ANUP,C,Metabolism
transketolase-like tk c-terminal-containing protein,transketolase-like TK C-terminal-containing protein,ANUR,C,Metabolism
transporter,transporter,ANWO,C,Metabolism
tricarballylate utilization 4fe-4s protein tcub,tricarballylate utilization 4Fe-4S protein TcuB,ANYH,C,Metabolism
tricarballylate utilization protein tcub,tricarballylate utilization protein TcuB,ANYJ,C,Metabolism
trifunctional transcriptional regulator/proline dehydrogenase/l-glutamate gamma-semialdehyde dehydrogenase,trifunctional transcriptional regulator/proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase,ANYR,C,Metabolism
atp-binding cassette domain-containing protein,ATP-binding cassette domain-containing protein,ANZ,C,Metabolism
trimethylamine n-oxide reductase torz,trimethylamine N-oxide reductase TorZ,AOAZ,C,Metabolism
atp-binding protein,ATP-binding protein,AOB,C,Metabolism
trimethylamine n-oxide reductase system protein tore,trimethylamine N-oxide reductase system protein TorE,AOBA,C,Metabolism
trimethylamine-n-oxide reductase tora,trimethylamine-N-oxide reductase TorA,AOBE,C,Metabolism
tryptophan 7-halogenase,tryptophan 7-halogenase,AOCO,C,Metabolism
tryptophan halogenase family protein,tryptophan halogenase family protein,AOCS,C,Metabolism
tungsten formylmethanofuran dehydrogenase,tungsten formylmethanofuran dehydrogenase,AODN,C,Metabolism
twin-arginine translocation signal domain-containing protein,twin-arginine translocation signal domain-containing protein,AOEA,C,Metabolism
type 1 glutamine amidotransferase domain-containing protein,type 1 glutamine amidotransferase domain-containing protein,AOKK,C,Metabolism
type 1 glycerol-3-phosphate oxidase,type 1 glycerol-3-phosphate oxidase,AOKM,C,Metabolism
type 2 isopentenyl-diphosphate delta-isomerase,type 2 isopentenyl-diphosphate Delta-isomerase,AOKP,C,Metabolism
type i glyceraldehyde-3-phosphate dehydrogenase,type I glyceraldehyde-3-phosphate dehydrogenase,AONS,C,Metabolism
type i polyketide synthase,type I polyketide synthase,AONX,C,Metabolism
type-f conjugative transfer system pilin assembly protein traf,type-F conjugative transfer system pilin assembly protein TraF,APPP,C,Metabolism
type-f conjugative transfer system pilin assembly thiol-disulfide isomerase trbb,type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB,APPR,C,Metabolism
tyrosinase family protein,tyrosinase family protein,APQF,C,Metabolism
ubiquinol oxidase subunit ii,ubiquinol oxidase subunit II,APRP,C,Metabolism
ubiquinol-cytochrome c reductase cytochrome b subunit,ubiquinol-cytochrome c reductase cytochrome b subunit,APRS,C,Metabolism
ubiquinol-cytochrome c reductase iron-sulfur subunit,ubiquinol-cytochrome c reductase iron-sulfur subunit,APRT,C,Metabolism
ubiquinone biosynthesis hydroxylase,ubiquinone biosynthesis hydroxylase,APSB,C,Metabolism
ubiquinone-dependent pyruvate dehydrogenase,ubiquinone-dependent pyruvate dehydrogenase,APSI,C,Metabolism
urate hydroxylase puud,urate hydroxylase PuuD,APUE,C,Metabolism
urea abc transporter permease subunit urtb,urea ABC transporter permease subunit UrtB,APUK,C,Metabolism
ureidoglycolate dehydrogenase,ureidoglycolate dehydrogenase,APVG,C,Metabolism
ureidoglycolate dehydrogenase alld,ureidoglycolate dehydrogenase AllD,APVH,C,Metabolism
uroporphyrinogen-iii c-methyltransferase,uroporphyrinogen-III C-methyltransferase,APVX,C,Metabolism
virulence factor,virulence factor,APXV,C,Metabolism
xanthine dehydrogenase family fe-s subunit,xanthine dehydrogenase family Fe-S subunit,AQAX,C,Metabolism
xanthine dehydrogenase family protein,xanthine dehydrogenase family protein,AQAY,C,Metabolism
xanthine dehydrogenase family protein molybdopterin-binding subunit,xanthine dehydrogenase family protein molybdopterin-binding subunit,AQAZ,C,Metabolism
xanthine dehydrogenase family protein subunit m,xanthine dehydrogenase family protein subunit M,AQBA,C,Metabolism
xanthine dehydrogenase molybdopterin binding subunit,xanthine dehydrogenase molybdopterin binding subunit,AQBD,C,Metabolism
xanthine dehydrogenase small subunit,xanthine dehydrogenase small subunit,AQBE,C,Metabolism
xylulokinase,xylulokinase,AQCJ,C,Metabolism
zinc ribbon domain-containing protein,zinc ribbon domain-containing protein,AQEO,C,Metabolism
zinc-binding alcohol dehydrogenase family protein,zinc-binding alcohol dehydrogenase family protein,AQFA,C,Metabolism
zinc-binding dehydrogenase,zinc-binding dehydrogenase,AQFB,C,Metabolism
zinc-dependent alcohol dehydrogenase,zinc-dependent alcohol dehydrogenase,AQFF,C,Metabolism
zinc-dependent alcohol dehydrogenase family protein,zinc-dependent alcohol dehydrogenase family protein,AQFG,C,Metabolism
zinc-dependent peptidase,zinc-dependent peptidase,AQFM,C,Metabolism
atp-grasp domain-containing protein,ATP-grasp domain-containing protein,AQM,C,Metabolism
atp/gtp-binding protein,ATP/GTP-binding protein,AQU,C,Metabolism
atpase,ATPase,AQY,C,Metabolism
acg family fmn-binding oxidoreductase,Acg family FMN-binding oxidoreductase,ASU,C,Metabolism
acyl-coa dehydrogenase,Acyl-CoA dehydrogenase,ATD,C,Metabolism
ahpc/tsa family protein,AhpC/TSA family protein,ATT,C,Metabolism
ammememoradisam system radical sam enzyme,AmmeMemoRadiSam system radical SAM enzyme,AUH,C,Metabolism
arsc/spx/mgsr family protein,ArsC/Spx/MgsR family protein,AVX,C,Metabolism
"1,2-phenylacetyl-coa epoxidase subunit paae","1,2-phenylacetyl-CoA epoxidase subunit PaaE",AW,C,Metabolism
arsj-associated glyceraldehyde-3-phosphate dehydrogenase,ArsJ-associated glyceraldehyde-3-phosphate dehydrogenase,AWA,C,Metabolism
arso family nad(p)h-dependent flavin-containing monooxygenase,ArsO family NAD(P)H-dependent flavin-containing monooxygenase,AWB,C,Metabolism
atpz/atpi family protein,AtpZ/AtpI family protein,AXB,C,Metabolism
atu2307/sp_0267 family llm class monooxygenase,Atu2307/SP_0267 family LLM class monooxygenase,AXF,C,Metabolism
b12-binding domain-containing radical sam protein,B12-binding domain-containing radical SAM protein,AYA,C,Metabolism
bbe domain-containing protein,BBE domain-containing protein,AYO,C,Metabolism
"1,3-propanediol dehydrogenase","1,3-propanediol dehydrogenase",AZ,C,Metabolism
bmc domain-containing protein,BMC domain-containing protein,AZN,C,Metabolism
bon domain-containing protein,BON domain-containing protein,AZU,C,Metabolism
"brp/blh family beta-carotene 15,15'-dioxygenase","Brp/Blh family beta-carotene 15,15'-dioxygenase",BDU,C,Metabolism
c-gcaxxg-c-c family (seleno)protein,C-GCAxxG-C-C family (seleno)protein,BEU,C,Metabolism
c-terminal binding protein,C-terminal binding protein,BFB,C,Metabolism
c4-dicarboxylate transporter dcta,C4-dicarboxylate transporter DctA,BGA,C,Metabolism
c4-dicarboxylate transporter dctc,C4-dicarboxylate transporter DctC,BGB,C,Metabolism
c4-dicarboxylate transporter dcuc,C4-dicarboxylate transporter DcuC,BGD,C,Metabolism
cbs domain-containing protein,CBS domain-containing protein,BHO,C,Metabolism
cce_0567 family metalloprotein,CCE_0567 family metalloprotein,BIB,C,Metabolism
"cdp-6-deoxy-delta-3,4-glucoseen reductase","CDP-6-deoxy-delta-3,4-glucoseen reductase",BJE,C,Metabolism
ce1758 family fmn-dependent luciferase-like monooxygenase,CE1758 family FMN-dependent luciferase-like monooxygenase,BJR,C,Metabolism
chrd domain-containing protein,CHRD domain-containing protein,BKS,C,Metabolism
cog3650 family protein,COG3650 family protein,BLW,C,Metabolism
crtac1 family protein,CRTAC1 family protein,BOK,C,Metabolism
cuaep/ccaep-tail radical sam (seleno)protein,CUAEP/CCAEP-tail radical SAM (seleno)protein,BQF,C,Metabolism
caib/baif coa transferase family protein,CaiB/BaiF CoA transferase family protein,BQR,C,Metabolism
caib/baif coa-transferase family protein,CaiB/BaiF CoA-transferase family protein,BQS,C,Metabolism
cbix/sirb n-terminal domain-containing protein,CbiX/SirB N-terminal domain-containing protein,BRP,C,Metabolism
citmhs family transporter,CitMHS family transporter,BTT,C,Metabolism
coa ester lyase,CoA ester lyase,BUZ,C,Metabolism
coa transferase,CoA transferase,BVB,C,Metabolism
coa-acylating methylmalonate-semialdehyde dehydrogenase,CoA-acylating methylmalonate-semialdehyde dehydrogenase,BVE,C,Metabolism
coa-acylating propionaldehyde dehydrogenase pdup,CoA-acylating propionaldehyde dehydrogenase PduP,BVF,C,Metabolism
coa-binding protein,CoA-binding protein,BVG,C,Metabolism
coa-disulfide reductase,CoA-disulfide reductase,BVH,C,Metabolism
coa:oxalate coa-transferase,CoA:oxalate CoA-transferase,BVK,C,Metabolism
cob--com heterodisulfide reductase iron-sulfur subunit a family protein,CoB--CoM heterodisulfide reductase iron-sulfur subunit A family protein,BVL,C,Metabolism
cob--com heterodisulfide reductase iron-sulfur subunit b family protein,CoB--CoM heterodisulfide reductase iron-sulfur subunit B family protein,BVM,C,Metabolism
"coenzyme f420 hydrogenase/dehydrogenase, beta subunit c-terminal domain","Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C-terminal domain",BVZ,C,Metabolism
cof-type had-iib family hydrolase,Cof-type HAD-IIB family hydrolase,BWA,C,Metabolism
coxg family protein,CoxG family protein,BXT,C,Metabolism
1-deoxy-d-xylulose-5-phosphate synthase n-terminal domain-containing protein,1-deoxy-D-xylulose-5-phosphate synthase N-terminal domain-containing protein,CB,C,Metabolism
d-2-hydroxyacid dehydrogenase,D-2-hydroxyacid dehydrogenase,CBB,C,Metabolism
d-2-hydroxyacid dehydrogenase family protein,D-2-hydroxyacid dehydrogenase family protein,CBC,C,Metabolism
d-2-hydroxyglutarate dehydrogenase ydij,D-2-hydroxyglutarate dehydrogenase YdiJ,CBD,C,Metabolism
1-deoxyxylulose-5-phosphate synthase yajo,1-deoxyxylulose-5-phosphate synthase YajO,CC,C,Metabolism
d-amino acid dehydrogenase,D-amino acid dehydrogenase,CDB,C,Metabolism
"d-arabinono-1,4-lactone oxidase","D-arabinono-1,4-lactone oxidase",CDM,C,Metabolism
d-glycerate dehydrogenase,D-glycerate dehydrogenase,CDX,C,Metabolism
d-isomer specific 2-hydroxyacid dehydrogenase family protein,D-isomer specific 2-hydroxyacid dehydrogenase family protein,CEG,C,Metabolism
d-lactate dehydrogenase,D-lactate dehydrogenase,CEH,C,Metabolism
d-lactate dehydrogenase vanh,D-lactate dehydrogenase VanH,CEI,C,Metabolism
d-lactate dehydrogenase vanh-a,D-lactate dehydrogenase VanH-A,CEJ,C,Metabolism
d-proline reductase (dithiol) protein prdb,D-proline reductase (dithiol) protein PrdB,CEU,C,Metabolism
dcc1-like thiol-disulfide oxidoreductase family protein,DCC1-like thiol-disulfide oxidoreductase family protein,CFX,C,Metabolism
dhha2 domain-containing protein,DHHA2 domain-containing protein,CGS,C,Metabolism
dmso reductase like molybdoenzyme iron-sulfur subunit ynfg,DMSO reductase like molybdoenzyme iron-sulfur subunit YnfG,CHQ,C,Metabolism
dmso/selenate family reductase complex a subunit,DMSO/selenate family reductase complex A subunit,CHR,C,Metabolism
dmso/selenate family reductase complex b subunit,DMSO/selenate family reductase complex B subunit,CHS,C,Metabolism
1-propanol dehydrogenase pduq,1-propanol dehydrogenase PduQ,CI,C,Metabolism
1-pyrroline-5-carboxylate dehydrogenase,1-pyrroline-5-carboxylate dehydrogenase,CJ,C,Metabolism
dna phosphorothioation system sulfurtransferase dndc,DNA phosphorothioation system sulfurtransferase DndC,CLA,C,Metabolism
12-oxophytodienoate reductase,12-oxophytodienoate reductase,CM,C,Metabolism
dna starvation/stationary phase protection protein dps,DNA starvation/stationary phase protection protein Dps,COV,C,Metabolism
duf1116 domain-containing protein,DUF1116 domain-containing protein,CWX,C,Metabolism
duf1186 domain-containing protein,DUF1186 domain-containing protein,CYG,C,Metabolism
duf1566 domain-containing protein,DUF1566 domain-containing protein,DGD,C,Metabolism
duf1588 domain-containing protein,DUF1588 domain-containing protein,DGS,C,Metabolism
duf169 domain-containing protein,DUF169 domain-containing protein,DIT,C,Metabolism
duf1707 domain-containing protein,DUF1707 domain-containing protein,DJD,C,Metabolism
duf1847 domain-containing protein,DUF1847 domain-containing protein,DLI,C,Metabolism
duf1858 domain-containing protein,DUF1858 domain-containing protein,DLS,C,Metabolism
duf1918 domain-containing protein,DUF1918 domain-containing protein,DMV,C,Metabolism
duf1924 domain-containing protein,DUF1924 domain-containing protein,DMZ,C,Metabolism
duf1963 domain-containing protein,DUF1963 domain-containing protein,DNJ,C,Metabolism
duf2092 domain-containing protein,DUF2092 domain-containing protein,DPO,C,Metabolism
duf2252 family protein,DUF2252 family protein,DTN,C,Metabolism
duf2269 domain-containing protein,DUF2269 domain-containing protein,DUA,C,Metabolism
"2,3-butanediol dehydrogenase","2,3-butanediol dehydrogenase",DX,C,Metabolism
duf2849 domain-containing protein,DUF2849 domain-containing protein,EHB,C,Metabolism
duf2855 family protein,DUF2855 family protein,EHH,C,Metabolism
duf3085 domain-containing protein,DUF3085 domain-containing protein,EMV,C,Metabolism
"2,4-dienoyl-coa reductase","2,4-dienoyl-CoA reductase",EQ,C,Metabolism
duf3341 domain-containing protein,DUF3341 domain-containing protein,ESZ,C,Metabolism
duf3483 domain-containing protein,DUF3483 domain-containing protein,EVR,C,Metabolism
duf3501 family protein,DUF3501 family protein,EWE,C,Metabolism
duf3611 family protein,DUF3611 family protein,EYF,C,Metabolism
duf362 domain-containing protein,DUF362 domain-containing protein,EYN,C,Metabolism
duf3683 domain-containing protein,DUF3683 domain-containing protein,EZM,C,Metabolism
duf3726 domain-containing protein,DUF3726 domain-containing protein,EZW,C,Metabolism
"2,5-didehydrogluconate reductase dkgb","2,5-didehydrogluconate reductase DkgB",FC,C,Metabolism
"2,5-dioxovalerate dehydrogenase","2,5-dioxovalerate dehydrogenase",FE,C,Metabolism
duf4070 domain-containing protein,DUF4070 domain-containing protein,FJG,C,Metabolism
