task,Code,Product,run_n,normalized_gain_mean_pct,normalized_gain_SD_pct
classification,PUU,ParB N-terminal domain-containing protein,3,0.12176643428937774,0.02130643868259427
classification,IUA,Exc2 family lipoprotein,3,0.11992207099018232,0.011839958761758201
classification,BGH,C40 family peptidase,3,0.1197203927747454,0.03070476074415567
classification,YQF,conjugative transfer protein MobI(A/C),3,0.11947847959027842,0.02064029711738966
classification,ANZ,ATP-binding cassette domain-containing protein,3,0.11935111904650807,0.07899634890299963
classification,ABMS,gallidermin/nisin family lantibiotic,3,0.11730215628014268,0.04310289985546327
classification,AQAO,winged helix-turn-helix domain-containing protein,3,0.11693495708102537,0.058768837385356446
classification,AUC,AlpA family transcriptional regulator,3,0.11662632216266362,0.04472238092231112
classification,RAC,SPFH domain-containing protein,3,0.11647531851546283,0.028831054715179685
classification,ADHV,incFII family plasmid replication initiator RepA,3,0.11403766622851237,0.04035480554078898
classification,TYL,YvrJ family protein,3,0.11397444612057166,0.03712033519237159
classification,SUU,VOC family protein,3,0.11347604280276741,0.0724595326503259
classification,AKYX,selenocysteine-specific translation elongation factor,3,0.1128775270197202,0.03779692841595347
classification,AFZC,nitrilase-related carbon-nitrogen hydrolase,3,0.11244878933076274,0.0001858349720551228
classification,ZAJ,cysteine hydrolase,3,0.11214073098888189,0.08512245610691097
classification,AKEG,recombination protein NinG,3,0.11181452627425931,0.055182313788634
classification,CHV,DMT family transporter,3,0.11062889741451337,0.01760995180017957
classification,ABXE,glutaredoxin domain-containing protein,3,0.1102555512570862,0.0815898214253135
classification,VYX,autotransporter strand-loop-strand O-heptosyltransferase,3,0.10848088898638332,0.04181922185383771
classification,AOUS,type II toxin-antitoxin system Phd/YefM family antitoxin,3,0.10704880097793489,0.035296171428665805
classification,AICL,plasmid partitioning/stability family protein,3,0.10660828142977974,0.011386793666551433
classification,KFO,IS110 family transposase,3,0.10553869771199516,0.021002481610262125
classification,LNX,IS5 family transposase,3,0.10404485999130735,0.005109990028993321
classification,JOR,GntR family transcriptional regulator,3,0.10374977432331049,0.07623637227738336
classification,JJD,GIY-YIG nuclease family protein,3,0.10239384726403161,0.05969613451256418
classification,OMC,NAD(P)/FAD-dependent oxidoreductase,3,0.10034063251525684,0.06963874549945094
classification,YJL,colicin release lysis protein,3,0.09997010785929628,0.023951018317220685
classification,ALCZ,serine/threonine protein kinase,3,0.09883046736539297,0.05138986529366568
classification,AGLW,outer membrane beta-barrel protein,3,0.0984918810994958,0.004859291591151696
classification,CIB,DNA adenine methylase,3,0.09825436301400452,0.037538899904561426
classification,AJZ,AI-2E family transporter,3,0.09758602954164362,0.028042611034630443
classification,AILL,portal protein,3,0.09753944505626895,0.039630653871937455
classification,OBL,MobA/MobL family protein,3,0.09650470245210514,0.030581346141914482
classification,ACUC,hemolysin expression modulator Hha,3,0.0962319228029363,0.03736412507335982
classification,ONC,NAD-dependent DNA ligase LigA,3,0.0957495961066021,0.06560509294477572
classification,LHT,IS30-like element IS30 family transposase,3,0.09543664508251402,0.12413947590568661
classification,NLJ,LysM peptidoglycan-binding domain-containing protein,3,0.0952454371062925,0.0605382979173615
classification,ABXF,glutaredoxin family protein,3,0.09501862749545896,0.008438097248143941
classification,AHEA,phage holin,3,0.09466883777999675,0.05301747707204621
classification,NXZ,MbeD family mobilization/exclusion protein,3,0.09290683271991085,0.034540989250979634
classification,CPF,DNA topoisomerase 3,3,0.09272145271338646,0.04615790914261465
classification,AKHV,replication initiator protein A,3,0.09232670387704388,0.012273133072745945
classification,AUT,AraC family transcriptional regulator,3,0.09169828295464816,0.04244205297688093
classification,AICQ,plasmid replication DNA-binding protein,3,0.09156941085055098,0.03717735041211115
classification,QID,RNA-guided endonuclease TnpB family protein,3,0.09133547951824594,0.023589987016615282
classification,IQD,EamA family transporter RarD,3,0.09058617197891398,0.00886294325582582
classification,KDH,HupE/UreJ family protein,3,0.08993218673145298,0.07320233524940477
classification,OCF,MobV family relaxase,3,0.08913450104372196,0.010165929473791621
classification,AIBV,plasmid mobilization protein,3,0.08876423037824577,0.022907784907268962
classification,MGB,IS91 family transposase,3,0.08860685539898744,0.015946189705016316
classification,NLP,LysR family transcriptional regulator,3,0.08858601264252235,0.018869091985049536
classification,IHB,DUF968 domain-containing protein,3,0.08841896469496553,0.017428523097395475
classification,EQW,DUF3267 domain-containing protein,3,0.08815038394687628,0.012059655730389375
classification,OCD,MobQ family relaxase,3,0.08793651967962092,0.02644027254133857
classification,QYY,SMI1/KNR4 family protein,3,0.08742199244225658,0.10553605785605696
classification,SDY,TetR/AcrR family transcriptional regulator,3,0.08561155652636272,0.017654745011969224
classification,ANVS,translesion DNA synthesis-associated protein ImuA,3,0.08497646129540626,0.020420040429957466
classification,SFT,Tn3 family transposase,3,0.08473057735188877,0.015679850727065174
classification,QIB,RNA-guided endonuclease InsQ/TnpB family protein,3,0.08406658041997134,0.039099619212081736
classification,EKX,DUF3006 domain-containing protein,3,0.08333683108980365,0.025822411751325085
classification,FBF,DUF3801 domain-containing protein,3,0.08314517713750387,0.012145124554267302
classification,VNB,antiterminator Q family protein,3,0.08309932830593074,0.059878474669348355
classification,UYJ,alpha/beta fold hydrolase,3,0.08309545706578049,0.021228352139045507
classification,HAD,DUF6283 family protein,3,0.08238084668674549,0.01140281800426816
classification,TCL,Y-family DNA polymerase,3,0.08201139903917222,0.04381063687367492
classification,QDQ,RDD family protein,3,0.08200351510204312,0.047149329727252186
classification,CIM,DNA cytosine methyltransferase,3,0.08196901622590567,0.018117218208666585
classification,AMQL,tRNA (guanosine(46)-N7)-methyltransferase TrmB,3,0.08086163623843648,0.060322154810572945
classification,AOUR,type II toxin-antitoxin system PemK/MazF family toxin,3,0.08066260197935675,0.01920845926484852
classification,BDR,BrnA antitoxin family protein,3,0.08017228935165292,0.03287507986206394
classification,PUY,ParB/RepB/Spo0J family partition protein,3,0.08010427229041635,0.017395290771812125
classification,AAHG,excinuclease ABC subunit UvrC,3,0.07969683102803449,0.04243244771402253
classification,TAJ,XRE family transcriptional regulator,3,0.07900099716021351,0.010331526949539855
classification,UYN,alpha/beta hydrolase,3,0.07874296194103941,0.04651079611930578
classification,TMH,YgiW/YdeI family stress tolerance OB fold protein,3,0.07829287155157066,0.021345308857124903
classification,AOUP,type II toxin-antitoxin system ParD family antitoxin,3,0.07802221616401944,0.02839856397404022
classification,SVF,VRR-NUC domain-containing protein,3,0.07776035441424352,0.04369726357118309
classification,LHK,IS30 family transposase,3,0.07690027707091342,0.01663845641517258
classification,AAAP,endonuclease/exonuclease/phosphatase family protein,3,0.07681825360024015,0.02292120175046726
classification,QWT,SDR family oxidoreductase,3,0.07626466568879069,0.05368161815511511
classification,CWF,DUF1064 domain-containing protein,3,0.07603734486007895,0.05786986883861227
classification,AKDP,recombinase RecA,3,0.07540198244804804,0.009450675238376593
classification,NXY,MbeB family mobilization protein,3,0.07536593030256844,0.02643583111485178
classification,AOVK,type II toxin-antitoxin system YafO family toxin,3,0.0738881159861797,0.03589612241200991
classification,IFS,DUF905 domain-containing protein,3,0.07263790144863283,0.017675278605645158
classification,GUQ,DUF6094 domain-containing protein,3,0.0713271140302566,0.034572939881142795
classification,AQI,ATP-dependent zinc metalloprotease FtsH,3,0.07115981940575973,0.024141962613458915
classification,YBX,"class II lanthipeptide, LchA2/BrtA2 family",3,0.07115778779779616,0.014424662924397775
classification,ADAK,host cell division inhibitor Icd-like protein,3,0.07104556777950273,0.023768864352293508
