COG_category,feature_n,task,run,seed,test_n,test_positive_n,test_positive_prevalence,F1_threshold_from_validation,AUPRC,AUROC,F1,R2,RMSE,Spearman_rho
D,468,classification,3,44,12393,825.0,0.06656983781166788,0.6021787542183071,0.7862584946590535,0.9318611949369211,0.7545973367152822,,,
D,468,regression_tRNA_positive_only,3,44,825,,,,,,,0.6139380751771297,5.364750818979306,0.622457761894097
E,1626,classification,1,42,12393,825.0,0.06656983781166788,0.6336251028593971,0.7868610569841563,0.9203065405088227,0.7802631578947369,,,
E,1626,regression_tRNA_positive_only,1,42,825,,,,,,,0.7057697376035154,4.7708180268633855,0.5414179853894316
E,1626,classification,2,43,12393,825.0,0.06656983781166788,0.7152397903475752,0.8044749896428821,0.9237076679659667,0.7661895023858214,,,
E,1626,regression_tRNA_positive_only,2,43,825,,,,,,,0.6834371507634935,5.411448590030001,0.5461177306680323
E,1626,classification,3,44,12393,825.0,0.06656983781166788,0.7561039455518465,0.7851806366317776,0.9191176809589673,0.7579092159559835,,,
E,1626,regression_tRNA_positive_only,3,44,825,,,,,,,0.6486206247299157,5.118105126322855,0.5353248806018847
F,722,classification,1,42,12393,825.0,0.06656983781166788,0.8098443140874946,0.769218009185916,0.9086697367869567,0.7480482611781405,,,
F,722,regression_tRNA_positive_only,1,42,825,,,,,,,0.7588901414394027,4.318736092740189,0.6172937185380449
F,722,classification,2,43,12393,825.0,0.06656983781166788,0.6996128766094156,0.7904727767108737,0.9114931996311665,0.7697594501718213,,,
F,722,regression_tRNA_positive_only,2,43,825,,,,,,,0.7704867235374535,4.607734748212746,0.6287630547335691
F,722,classification,3,44,12393,825.0,0.06656983781166788,0.7241066972818114,0.7779732879406063,0.9092797791189907,0.7553118574366005,,,
F,722,regression_tRNA_positive_only,3,44,825,,,,,,,0.6798561348508632,4.885327250840395,0.5995290010735939
G,1439,classification,1,42,12393,825.0,0.06656983781166788,0.6147935220994005,0.787863622060655,0.9232999077916091,0.7637540453074434,,,
G,1439,regression_tRNA_positive_only,1,42,825,,,,,,,0.6918443585189652,4.8824099666924,0.5793422990420116
G,1439,classification,2,43,12393,825.0,0.06656983781166788,0.739620591653978,0.7972775255728003,0.9218628190619892,0.7724719101123596,,,
G,1439,regression_tRNA_positive_only,2,43,825,,,,,,,0.6879540950414131,5.372702677859874,0.5539480648644435
G,1439,classification,3,44,12393,825.0,0.06656983781166788,0.7079825799824097,0.7901040701750401,0.9231437298294145,0.7537619699042407,,,
G,1439,regression_tRNA_positive_only,3,44,825,,,,,,,0.5836632852345636,5.571131689827432,0.5329207245873492
H,1163,classification,1,42,12393,825.0,0.06656983781166788,0.6489811177141032,0.7644357737360176,0.9095710738086257,0.7511551155115511,,,
H,1163,regression_tRNA_positive_only,1,42,825,,,,,,,0.7586380655378068,4.320993082373035,0.5774386541586608
H,1163,classification,2,43,12393,825.0,0.06656983781166788,0.7784190337615358,0.7756728975622819,0.9030508927448762,0.7675070028011205,,,
H,1163,regression_tRNA_positive_only,2,43,825,,,,,,,0.7475641194290873,4.832358055675886,0.5730763636184929
H,1163,classification,3,44,12393,825.0,0.06656983781166788,0.7520379304055929,0.765222682727721,0.9022524519049415,0.7492957746478873,,,
H,1163,regression_tRNA_positive_only,3,44,825,,,,,,,0.7001319277941163,4.728094876498604,0.6270380385612272
I,750,classification,1,42,12393,825.0,0.06656983781166788,0.8675220474037653,0.6938884459835167,0.8759072572194979,0.6883116883116883,,,
I,750,regression_tRNA_positive_only,1,42,825,,,,,,,0.6852030241882379,4.93474207008728,0.480137453711693
I,750,classification,2,43,12393,825.0,0.06656983781166788,0.7228915702240306,0.7109180724980455,0.874634414686282,0.6954760297096556,,,
I,750,regression_tRNA_positive_only,2,43,825,,,,,,,0.7072478420887078,5.203956005093418,0.479028606933283
I,750,classification,3,44,12393,825.0,0.06656983781166788,0.6741837623115263,0.7094636596872617,0.8901156796177543,0.691358024691358,,,
I,750,regression_tRNA_positive_only,3,44,825,,,,,,,0.6292164555064346,5.257524374343449,0.5469826226309272
J,774,classification,1,42,12393,825.0,0.06656983781166788,0.7560311844994935,0.7706125364169061,0.9145969550274531,0.7439945092656143,,,
J,774,regression_tRNA_positive_only,1,42,825,,,,,,,0.753179698578109,4.369579257872473,0.5526188699599937
J,774,classification,2,43,12393,825.0,0.06656983781166788,0.8014214279075212,0.7847008766475876,0.9188221949788341,0.757679180887372,,,
J,774,regression_tRNA_positive_only,2,43,825,,,,,,,0.7731408463082532,4.581015040080155,0.6180745398055968
J,774,classification,3,44,12393,825.0,0.06656983781166788,0.6573482630653973,0.7558657257653775,0.9056806655769312,0.7360931435963778,,,
J,774,regression_tRNA_positive_only,3,44,825,,,,,,,0.6975609014336288,4.748320623611443,0.6216790225350455
K,1535,classification,1,42,12393,825.0,0.06656983781166788,0.5802662173422719,0.8232768314810006,0.9432270841192003,0.789850357839948,,,
K,1535,regression_tRNA_positive_only,1,42,825,,,,,,,0.7496860891268666,4.4003951250200375,0.6320326958360643
K,1535,classification,2,43,12393,825.0,0.06656983781166788,0.6168948724428993,0.8329814104060274,0.9423614778490298,0.8010716677829873,,,
K,1535,regression_tRNA_positive_only,2,43,825,,,,,,,0.6962365359847251,5.300921002779691,0.6044276741732366
K,1535,classification,3,44,12393,825.0,0.06656983781166788,0.5918128726862336,0.8315758827911877,0.9435678360367157,0.7929915639195327,,,
K,1535,regression_tRNA_positive_only,3,44,825,,,,,,,0.7327728646296401,4.4633541415168345,0.618068692494368
L,1827,classification,1,42,12393,825.0,0.06656983781166788,0.6382094069681907,0.8255598865607697,0.9522120583427638,0.789859906604403,,,
L,1827,regression_tRNA_positive_only,1,42,825,,,,,,,0.7316240724625505,4.556390747334991,0.6364306530227574
L,1827,classification,2,43,12393,825.0,0.06656983781166788,0.6180740794876157,0.8392884192766714,0.9531745882057086,0.8037508372404555,,,
L,1827,regression_tRNA_positive_only,2,43,825,,,,,,,0.7462827716104159,4.844606896569824,0.6578482310285292
L,1827,classification,3,44,12393,825.0,0.06656983781166788,0.6475640733302683,0.8242384009160812,0.9483051992958631,0.7845230153435624,,,
L,1827,regression_tRNA_positive_only,3,44,825,,,,,,,0.658629613191509,5.0446842776332925,0.6351825354817252
M,1770,classification,1,42,12393,825.0,0.06656983781166788,0.6894091798413783,0.8178427329428984,0.9325789010436314,0.7871054398925453,,,
M,1770,regression_tRNA_positive_only,1,42,825,,,,,,,0.7812379342532783,4.113724373963325,0.6102016127823565
M,1770,classification,2,43,12393,825.0,0.06656983781166788,0.7060900135875244,0.8274767874236671,0.9352996248795005,0.7953929539295393,,,
M,1770,regression_tRNA_positive_only,2,43,825,,,,,,,0.6889426114868671,5.364185953767229,0.5898934951086332
M,1770,classification,3,44,12393,825.0,0.06656983781166788,0.6578131716903203,0.8088175657486437,0.932611959847437,0.7808127914723517,,,
M,1770,regression_tRNA_positive_only,3,44,825,,,,,,,0.6104646789367716,5.388830091424646,0.5823264775171461
N,657,classification,1,42,12393,825.0,0.06656983781166788,0.7431713187423289,0.7481325304840599,0.9111434364390796,0.7257731958762886,,,
N,657,regression_tRNA_positive_only,1,42,825,,,,,,,0.5615333002993403,5.823948015565915,0.5140026399939953
N,657,classification,2,43,12393,825.0,0.06656983781166788,0.7427396846238685,0.7751659991697276,0.9144931681964876,0.7407407407407407,,,
N,657,regression_tRNA_positive_only,2,43,825,,,,,,,0.5183331535161819,6.675087163122554,0.5713352096565235
N,657,classification,3,44,12393,825.0,0.06656983781166788,0.6556513867100114,0.7476404957547985,0.9082387673414645,0.7332892124420913,,,
N,657,regression_tRNA_positive_only,3,44,825,,,,,,,0.5212596465529544,5.974080728144551,0.5286682637117998
O,831,classification,1,42,12393,825.0,0.06656983781166788,0.5692165366457327,0.8067600845460605,0.9291786118445869,0.7766367137355584,,,
O,831,regression_tRNA_positive_only,1,42,825,,,,,,,0.742876442386289,4.45984860474005,0.6002209326869089
O,831,classification,2,43,12393,825.0,0.06656983781166788,0.7337214605091483,0.816911884805505,0.9305226015340122,0.7771739130434783,,,
O,831,regression_tRNA_positive_only,2,43,825,,,,,,,0.7445109804760695,4.8614932115385665,0.6470955613014315
O,831,classification,3,44,12393,825.0,0.06656983781166788,0.613528372065333,0.7975906005550688,0.9246352529443816,0.7658473479948253,,,
O,831,regression_tRNA_positive_only,3,44,825,,,,,,,0.6204410794367503,5.319375765338257,0.6177642344630085
P,1350,classification,1,42,12393,825.0,0.06656983781166788,0.8163576744317521,0.7862604970976215,0.9246695167442055,0.7422096317280453,,,
P,1350,regression_tRNA_positive_only,1,42,825,,,,,,,0.7142343910554202,4.701691859350394,0.5249764795483572
P,1350,classification,2,43,12393,825.0,0.06656983781166788,0.6643432326796883,0.7816936054066423,0.9060595058468502,0.7535258562793822,,,
P,1350,regression_tRNA_positive_only,2,43,825,,,,,,,0.7514723560806196,4.794804620455398,0.5882913966399222
P,1350,classification,3,44,12393,825.0,0.06656983781166788,0.6926511087105123,0.7742814672069546,0.9075106877907707,0.7484989993328885,,,
P,1350,regression_tRNA_positive_only,3,44,825,,,,,,,0.5955140139275263,5.491270134496871,0.5719116249538508
Q,785,classification,1,42,12393,825.0,0.06656983781166788,0.8566946671739568,0.7642951925428473,0.9103804120038559,0.7239621267297888,,,
Q,785,regression_tRNA_positive_only,1,42,825,,,,,,,0.6516170773497549,5.191317740338435,0.5552827891003068
Q,785,classification,2,43,12393,825.0,0.06656983781166788,0.7404722667869941,0.7824577010484749,0.9087965233245316,0.7513966480446927,,,
Q,785,regression_tRNA_positive_only,2,43,825,,,,,,,0.6593924819857151,5.61320209524595,0.5721827727833163
Q,785,classification,3,44,12393,825.0,0.06656983781166788,0.8222123403004125,0.7752024053812664,0.9106807703591936,0.7453769559032717,,,
