GCF_ID,organism_name,taxid,species_taxid,assembly_level,refseq_category,kingdom,phylum,class,order,family,genus,species
GCF_001399775.1,Thermus aquaticus Y51MC23,498848,271.0,Complete Genome,reference genome,,Deinococcota,Deinococci,Thermales,Thermaceae,Thermus,Thermus aquaticus
GCF_042466135.1,Klebsiella aerogenes,548,548.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella aerogenes
GCF_024918835.1,Klebsiella pneumoniae,573,573.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCF_020091325.1,Enterococcus faecium,1352,1352.0,Complete Genome,na,,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium
GCF_050366995.1,Clostridium butyricum,1492,1492.0,Complete Genome,na,,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium butyricum
GCF_017570685.1,Escherichia coli H20,2810409,562.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_000239195.1,Bacillus cereus F837/76,347495,1396.0,Complete Genome,na,,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus
GCF_021441845.1,Klebsiella pneumoniae,573,573.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCF_000376705.1,Cutibacterium acnes HL096PA1,1134454,1747.0,Complete Genome,na,,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes
GCF_000612545.2,Streptomyces sp. PCS3-D2,1460244,1460244.0,Complete Genome,na,,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. PCS3-D2
GCF_040391575.1,Neisseria gonorrhoeae,485,485.0,Complete Genome,na,,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria gonorrhoeae
GCF_012935105.1,Acinetobacter baumannii,470,470.0,Complete Genome,na,,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
GCF_005887635.2,Paroceanicella profunda,2579971,2579971.0,Complete Genome,reference genome,,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Paroceanicella,Paroceanicella profunda
GCF_002007085.2,Limosilactobacillus reuteri,1598,1598.0,Complete Genome,na,,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri
