experiment,split_strategy,run,seed,task,train_n,test_n,test_positive_n,test_positive_prevalence,F1_threshold_from_validation,AUPRC,AUROC,F1,R2,RMSE,Spearman_rho
directional_size_transfer,small_to_large,1,42,classification,42678,6624,1169.0,0.17647946859903382,0.8309676920224349,0.6004351665515465,0.7999488779413806,0.37601078167115903,,,
directional_size_transfer,small_to_large,1,42,regression_tRNA_positive_only,1249,1169,,,,,,,-0.0625911447355767,10.243989651977618,0.43669054271208846
directional_size_transfer,large_to_small,1,42,classification,19283,21131,573.0,0.027116558610572144,0.1404179746055523,0.6369701209590107,0.9088061326342344,0.595903165735568,,,
directional_size_transfer,large_to_small,1,42,regression_tRNA_positive_only,2876,573,,,,,,,0.520025178272908,3.213997998584077,0.5816110082632397
internal_generalization,random_80_20,2,43,classification,49568,12393,825.0,0.06656983781166788,0.6251760226312274,0.9111335258159995,0.977752944381575,0.8626943005181347,,,
internal_generalization,random_80_20,2,43,regression_tRNA_positive_only,3300,825,,,,,,,0.8119874293331152,3.3428386950373854,0.7884994638170572
internal_generalization,Assembly_ID_blocked,2,43,classification,49506,12455,852.0,0.06840626254516259,0.2583045885022848,0.899006105463978,0.9748828516503948,0.8286052009456265,,,
internal_generalization,Assembly_ID_blocked,2,43,regression_tRNA_positive_only,3273,852,,,,,,,0.8455800603417777,3.1838496546897352,0.7290352253040704
internal_generalization,species_blocked,2,43,classification,52738,8836,613.0,0.06937528293345405,0.5497893768411297,0.7439824405211145,0.9138220711056144,0.7106690777576854,,,
internal_generalization,species_blocked,2,43,regression_tRNA_positive_only,3483,613,,,,,,,0.613737325898208,7.6722954228338365,0.6701517518635699
internal_generalization,genus_blocked,2,43,classification,49766,11805,752.0,0.06370182126217705,0.8085645236861573,0.492990191168066,0.8806426627217795,0.39603960396039606,,,
internal_generalization,genus_blocked,2,43,regression_tRNA_positive_only,3344,752,,,,,,,0.6109505191271245,5.470203502113548,0.4553956919756713
internal_generalization,phylum_blocked,2,43,classification,60647,927,30.0,0.032362459546925564,0.9863217803206885,0.35284156577324777,0.8755109624674843,0.20512820512820512,,,
internal_generalization,phylum_blocked,2,43,regression_tRNA_positive_only,4066,30,,,,,,,0.4189549291377159,6.446821566721455,0.3633739808696849
within_size,small_lt_100kb,2,43,classification,34142,8536,250.0,0.02928772258669166,0.5045325528222193,0.7982034623952723,0.9427299058653149,0.7922912205567452,,,
within_size,small_lt_100kb,2,43,regression_tRNA_positive_only,999,250,,,,,,,0.6383699667401472,2.5698430795424,0.7212376002389065
within_size,large_ge_100kb,2,43,classification,15426,3857,575.0,0.14907959554057557,0.2041212209459842,0.941191825200786,0.9777420978724533,0.8779174147217235,,,
within_size,large_ge_100kb,2,43,regression_tRNA_positive_only,2301,575,,,,,,,0.8866027204239614,3.5652006547691446,0.7974741957857199
directional_size_transfer,small_to_large,2,43,classification,42678,6624,1169.0,0.17647946859903382,0.5999773612780217,0.5959341416012588,0.7924055516046604,0.4564526382708201,,,
directional_size_transfer,small_to_large,2,43,regression_tRNA_positive_only,1249,1169,,,,,,,-0.3628868992426941,11.601548057831954,0.3639168766055831
directional_size_transfer,large_to_small,2,43,classification,19283,21131,573.0,0.027116558610572144,0.1826805698180033,0.6364726593179278,0.9105785835231933,0.587464920486436,,,
directional_size_transfer,large_to_small,2,43,regression_tRNA_positive_only,2876,573,,,,,,,0.45070786456621914,3.4382548517014855,0.5617402477873542
internal_generalization,random_80_20,3,44,classification,49568,12393,825.0,0.06656983781166788,0.47217697267221936,0.8893463561389954,0.9747017896810428,0.8430379746835444,,,
internal_generalization,random_80_20,3,44,regression_tRNA_positive_only,3300,825,,,,,,,0.883946192974205,2.9647361917187514,0.7589331521120841
internal_generalization,Assembly_ID_blocked,3,44,classification,49361,12600,861.0,0.06833333333333333,0.6785062197940219,0.900809733257074,0.9759270027076528,0.8421709295071741,,,
internal_generalization,Assembly_ID_blocked,3,44,regression_tRNA_positive_only,3264,861,,,,,,,0.7836967950198588,3.5452974976560303,0.7626346711032845
internal_generalization,species_blocked,3,44,classification,54817,6757,762.0,0.11277194021015244,0.2919711070581596,0.8095233121821063,0.9436517526635275,0.7106875425459497,,,
internal_generalization,species_blocked,3,44,regression_tRNA_positive_only,3334,762,,,,,,,0.5100918134699388,6.6063684287012645,0.5968432125885418
internal_generalization,genus_blocked,3,44,classification,55259,6312,585.0,0.09268060836501901,0.743996511940184,0.5696669305913407,0.8660895533079922,0.45760743321718933,,,
internal_generalization,genus_blocked,3,44,regression_tRNA_positive_only,3511,585,,,,,,,0.6195257051504934,5.585480410030953,0.42283061645173525
internal_generalization,phylum_blocked,3,44,classification,16915,44659,2914.0,0.06525000559797577,0.04467439801946726,0.30734983313144,0.7365305278238887,0.2727272727272727,,,
internal_generalization,phylum_blocked,3,44,regression_tRNA_positive_only,1182,2914,,,,,,,0.514713212685601,5.070143143622056,0.17403549200089735
within_size,small_lt_100kb,3,44,classification,34142,8536,250.0,0.02928772258669166,0.9481198029771228,0.8014500415372836,0.9452761284093654,0.7870370370370371,,,
within_size,small_lt_100kb,3,44,regression_tRNA_positive_only,999,250,,,,,,,0.5879641927352157,3.4474960329814004,0.6959107691085061
within_size,large_ge_100kb,3,44,classification,15426,3857,575.0,0.14907959554057557,0.5831160374102794,0.9451890901325632,0.9831444241316272,0.8741965105601469,,,
within_size,large_ge_100kb,3,44,regression_tRNA_positive_only,2301,575,,,,,,,0.8416270529836858,3.4527397870404464,0.7260767661589976
directional_size_transfer,small_to_large,3,44,classification,42678,6624,1169.0,0.17647946859903382,0.9532317927868998,0.5947458226296928,0.788930192515323,0.302771855010661,,,
directional_size_transfer,small_to_large,3,44,regression_tRNA_positive_only,1249,1169,,,,,,,-0.19499701062840757,10.863491887003468,0.3587305169923708
directional_size_transfer,large_to_small,3,44,classification,19283,21131,573.0,0.027116558610572144,0.26798885293810126,0.6331438238947645,0.9111027040169157,0.5920155793573515,,,
directional_size_transfer,large_to_small,3,44,regression_tRNA_positive_only,2876,573,,,,,,,0.519317159779552,3.2163676348166765,0.5671301983143405
